OrderDate,Region,Product,SalesAmount,Quantity,CustomerID
11/11/2024,East,Laptop,989.55,30,CUST-0012
01/15/2024,East,SSD Drive,4086.26,3,CUST-0025
04/05/2024,West,Mouse,3630.6,37,CUST-0061
12/01/2024,East,Webcam,919.42,35,CUST-0047
10/25/2024,South,Monitor,2281.47,37,CUST-0079
05/18/2024,East,Laptop,2201.09,21,CUST-0056
08/14/2024,North,Keyboard,1734.24,49,CUST-0044
07/30/2024,West,Headset,1954.23,16,CUST-0049
04/05/2024,Central,Mouse,2745.58,18,CUST-0019
09/03/2024,Central,Monitor,389.18,16,CUST-0052
01/15/2024,West,RAM Module,410.5,41,CUST-0074
08/14/2024,West,Laptop,2079.39,10,CUST-0010
02/20/2024,East,RAM Module,3210.82,44,CUST-0030
10/25/2024,West,Keyboard,4165.16,11,CUST-0057
02/20/2024,West,Monitor,4839.43,43,CUST-0045
02/30/2024,East,Webcam,947.96,43,CUST-0052
03/10/2024,Central,SSD Drive,2943.7,26,CUST-0047
02/20/2024,Central,Laptop,1782.3,50,CUST-0006
11/11/2024,North,Laptop,1255.67,37,CUST-0027
10/25/2024,North,Monitor,4399.67,20,CUST-0031
07/30/2024,West,Headset,4788.72,36,CUST-0063
10/25/2024,Central,Webcam,1145.77,30,CUST-0039
02/30/2024,South,USB Hub,3774.34,15,CUST-0069
12/01/2024,North,Monitor,1114.91,22,CUST-0021
03/10/2024,South,Docking Station,4032.71,26,CUST-0002
08/14/2024,East,USB Hub,,33,CUST-0059
09/03/2024,East,Keyboard,4640.26,24,CUST-0066
11/11/2024,West,Laptop,1146.9,20,CUST-0075
12/01/2024,West,Laptop,1240.79,43,CUST-0011
07/30/2024,East,RAM Module,265.08,8,CUST-0049
08/14/2024,Central,USB Hub,4801.17,43,CUST-0011
05/18/2024,Central,Docking Station,4226.12,2,CUST-0015
04/05/2024,West,Headset,4178.85,23,CUST-0027
09/03/2024,South,Mouse,780.39,1,CUST-0036
07/30/2024,West,SSD Drive,2753.35,15,CUST-0063
10/25/2024,Central,Laptop,2125.16,34,CUST-0041
09/03/2024,East,RAM Module,2537.74,38,CUST-0020
10/25/2024,West,SSD Drive,540.93,42,CUST-0071
04/05/2024,South,Docking Station,,46,CUST-0049
02/20/2024,East,Laptop,4120.54,24,CUST-0059
2024-01-15,South,Laptop,3173.96,3,CUST-0043
05/18/2024,South,USB Hub,3818.09,49,CUST-0054
01/15/2024,west,,3762.0,2,CUST-0019
08/14/2024,East,Webcam,4295.78,45,CUST-0064
09/03/2024,Central,RAM Module,1098.4,47,CUST-0026
03/10/2024,Central,Docking Station,274.25,22,CUST-0061
02/20/2024,East,,1546.22,9,CUST-0036
11/11/2024,East,Monitor,3768.13,15,CUST-0026
09/03/2024,Central,SSD Drive,4040.69,48,CUST-0006
11/11/2024,West,Webcam,590.88,35,CUST-0058
02/20/2024,South,Monitor,3140.37,46,CUST-0042
11/11/2024,North,Webcam,1869.43,37,CUST-0029
07/30/2024,South,USB Hub,758.43,17,CUST-0059
04/05/2024,South,Monitor,3875.6,49,CUST-0073
01/15/2024,East,Headset,1871.69,48,CUST-0057
04/05/2024,South,Headset,1293.05,4,CUST-0012
10/25/2024, East ,Monitor,3416.54,50,CUST-0071
10/25/2024,North,Keyboard,1999.82,22,CUST-0072
07/30/2024,West,Webcam,4000.8,30,CUST-0017
12/01/2024,Central,RAM Module,310.41,40,CUST-0007
05/18/2024, East ,Keyboard,1346.68,36,CUST-0055
01/15/2024,West,Keyboard,3651.16,24,CUST-0006
